actual,prob_0,prob_1,predicted
1,0.40276566195411323,0.5972343380458868,1
1,0.186834984626019,0.813165015373981,1
0,0.7049576846603082,0.29504231533969183,0
0,0.7669265100260316,0.23307348997396843,0
0,0.5379964214155902,0.46200357858440977,0
1,0.11507332770897982,0.8849266722910202,1
0,0.3090204288440509,0.6909795711559491,1
0,0.5866824591198216,0.41331754088017836,0
0,0.6686540102295793,0.33134598977042073,0
1,0.08586227499312205,0.914137725006878,1
1,0.1729516644656519,0.8270483355343481,1
1,0.6803989036896732,0.3196010963103269,0
1,0.161264143728433,0.838735856271567,1
1,0.7099447793883438,0.2900552206116562,0
1,0.4311987670001125,0.5688012329998875,1
1,0.6597558091176334,0.34024419088236657,0
0,0.5658520015512059,0.4341479984487942,0
1,0.14435823152301763,0.8556417684769824,1
0,0.6986796225258646,0.3013203774741354,0
0,0.2643201220873965,0.7356798779126035,1
1,0.33531155423528924,0.6646884457647108,1
1,0.20754281370403893,0.7924571862959611,1
1,0.17775590926644702,0.822244090733553,1
1,0.19658085540292758,0.8034191445970724,1
1,0.2963077527514856,0.7036922472485144,1
1,0.33252591512111807,0.6674740848788819,1
1,0.13108982553902393,0.8689101744609761,1
1,0.11366976429652376,0.8863302357034762,1
0,0.6768261364165848,0.3231738635834152,0
1,0.4067700941797928,0.5932299058202072,1
1,0.36519773535169575,0.6348022646483042,1
1,0.21123644945783182,0.7887635505421682,1
0,0.3007055748479268,0.6992944251520732,1
1,0.45414094314373454,0.5458590568562655,1
1,0.09919429738938979,0.9008057026106102,1
1,0.16698835353001473,0.8330116464699853,1
1,0.13830757054399168,0.8616924294560083,1
1,0.3887441342284508,0.6112558657715492,1
1,0.17236306320461903,0.827636936795381,1
1,0.25779861717860664,0.7422013828213934,1
1,0.2457627874639816,0.7542372125360184,1
0,0.5574672904280981,0.44253270957190194,0
0,0.06775347393091191,0.9322465260690881,1
1,0.33216164086719935,0.6678383591328007,1
1,0.3235458170228602,0.6764541829771398,1
0,0.5532855623415405,0.4467144376584595,0
1,0.21634993691926085,0.7836500630807391,1
1,0.40488961799750844,0.5951103820024916,1
0,0.6172740836653378,0.38272591633466224,0
0,0.48924707307172843,0.5107529269282716,1
0,0.2511552728371559,0.7488447271628441,1
1,0.15392806696739836,0.8460719330326016,1
1,0.19860742269130716,0.8013925773086928,1
0,0.3502218390029114,0.6497781609970886,1
1,0.3790033806017159,0.6209966193982841,1
1,0.12522590979151504,0.874774090208485,1
0,0.7603133284425379,0.23968667155746215,0
0,0.7655162634032068,0.2344837365967932,0
1,0.21920465098860398,0.780795349011396,1
0,0.5138163482827474,0.48618365171725264,0
0,0.30646528367970427,0.6935347163202957,1
1,0.3169900544408466,0.6830099455591534,1
0,0.3516345877365965,0.6483654122634035,1
1,0.30014057805655103,0.699859421943449,1
1,0.24105822956937695,0.758941770430623,1
1,0.06469437117825394,0.9353056288217461,1
0,0.1001251518451014,0.8998748481548986,1
1,0.18297715943984194,0.8170228405601581,1
1,0.2572885891558462,0.7427114108441538,1
0,0.11000390642123248,0.8899960935787675,1
0,0.37614659168917464,0.6238534083108254,1
0,0.5624084292765102,0.43759157072348975,0
1,0.3331637414299705,0.6668362585700295,1
0,0.42084065872179455,0.5791593412782055,1
1,0.19250822863575057,0.8074917713642494,1
1,0.1176093384367769,0.8823906615632231,1
1,0.10732405640480236,0.8926759435951976,1
1,0.1648580298197888,0.8351419701802112,1
1,0.7200721536162321,0.2799278463837679,0
0,0.28119678566501716,0.7188032143349828,1
1,0.36030358209467905,0.639696417905321,1
1,0.1386500365986355,0.8613499634013645,1
0,0.572974493657737,0.42702550634226305,0
1,0.1697838756765747,0.8302161243234253,1
0,0.7082003692071916,0.2917996307928083,0
0,0.13401507233370424,0.8659849276662958,1
1,0.0845449498326194,0.9154550501673806,1
0,0.7570251888923405,0.24297481110765945,0
1,0.26886434325654174,0.7311356567434583,1
1,0.3550438907439547,0.6449561092560453,1
0,0.4857940302261443,0.5142059697738557,1
1,0.11728099211461807,0.8827190078853819,1
0,0.7602557518191404,0.2397442481808596,0
1,0.27063113603419275,0.7293688639658072,1
0,0.6665028917922331,0.33349710820776685,0
1,0.29986040946059944,0.7001395905394006,1
1,0.065322544728044,0.934677455271956,1
1,0.3927121669381767,0.6072878330618233,1
1,0.2755467028101014,0.7244532971898986,1
1,0.15664168779430987,0.8433583122056901,1
0,0.6595049664061408,0.3404950335938592,0
0,0.08466976183566621,0.9153302381643338,1
1,0.6976942522621035,0.3023057477378966,0
0,0.09643112027774592,0.9035688797222541,1
1,0.23337679864709404,0.766623201352906,1
0,0.3896565251128057,0.6103434748871943,1
0,0.5684297492930885,0.4315702507069115,0
0,0.5340094648107565,0.46599053518924344,0
0,0.5640991128030175,0.43590088719698256,0
0,0.3132724419565961,0.6867275580434039,1
1,0.5241574130244342,0.4758425869755658,0
0,0.11692308218925274,0.8830769178107473,1
0,0.6056278386085902,0.39437216139140985,0
1,0.5189921617844986,0.48100783821550147,0
1,0.44501333059346426,0.5549866694065357,1
0,0.6909208951873951,0.30907910481260487,0
1,0.32715662493913067,0.6728433750608693,1
1,0.3074904066765888,0.6925095933234112,1
1,0.2189185168211435,0.7810814831788565,1
0,0.11474333455335017,0.8852566654466498,1
1,0.3329041826678213,0.6670958173321787,1
1,0.33237817256942215,0.6676218274305779,1
0,0.6191496133136919,0.3808503866863081,0
1,0.24277591614231386,0.7572240838576861,1
1,0.2924453384570471,0.7075546615429529,1
1,0.3671739842411139,0.6328260157588861,1
0,0.6962945230820883,0.30370547691791167,0
0,0.2975689137164612,0.7024310862835388,1
0,0.5725125749395623,0.4274874250604377,0
1,0.48293966373122466,0.5170603362687753,1
0,0.6955108925460989,0.3044891074539011,0
1,0.4668464987411446,0.5331535012588554,1
0,0.7531217093214119,0.2468782906785881,0
0,0.1443386279360137,0.8556613720639863,1
1,0.23777838029922593,0.7622216197007741,1
1,0.47569637223121797,0.524303627768782,1
0,0.12153306876925785,0.8784669312307422,1
1,0.41506780110979036,0.5849321988902096,1
1,0.17563520788711562,0.8243647921128844,1
1,0.4192844418520464,0.5807155581479536,1
1,0.04691807770186218,0.9530819222981378,1
1,0.31571184900468263,0.6842881509953174,1
0,0.11363577711256234,0.8863642228874377,1
1,0.1625798427208337,0.8374201572791663,1
1,0.3262317880500345,0.6737682119499655,1
1,0.31176723546570506,0.6882327645342949,1
0,0.5540898427194172,0.4459101572805828,0
1,0.49996779850686524,0.5000322014931348,1
1,0.15559323305405937,0.8444067669459406,1
1,0.3602023059250883,0.6397976940749117,1
1,0.3440427086689598,0.6559572913310402,1
1,0.3155551429933935,0.6844448570066065,1
1,0.14910699003409544,0.8508930099659046,1
1,0.3403680752880994,0.6596319247119006,1
0,0.14578443815223863,0.8542155618477614,1
1,0.11670704173786062,0.8832929582621394,1
0,0.2319832822873782,0.7680167177126218,1
1,0.3618705988501547,0.6381294011498453,1
1,0.2892392170992065,0.7107607829007935,1
1,0.2806317285939972,0.7193682714060028,1
1,0.3748068878284847,0.6251931121715153,1
0,0.503872104077112,0.496127895922888,0
0,0.5837253860582996,0.4162746139417004,0
1,0.15468352469237034,0.8453164753076297,1
1,0.17249321566875886,0.8275067843312411,1
1,0.3724663987350999,0.6275336012649001,1
1,0.11004715587545644,0.8899528441245436,1
0,0.2587615061467212,0.7412384938532788,1
1,0.333979256734772,0.666020743265228,1
0,0.22907447109386103,0.770925528906139,1
0,0.2832497674503267,0.7167502325496733,1
1,0.45580682132009476,0.5441931786799052,1
1,0.11481854307616912,0.8851814569238309,1
1,0.09357551876354564,0.9064244812364544,1
0,0.11842011321618184,0.8815798867838182,1
1,0.09038490190028148,0.9096150980997185,1
1,0.11888060067003281,0.8811193993299672,1
1,0.1350904467997598,0.8649095532002402,1
1,0.41692655978883875,0.5830734402111613,1
1,0.2468800256464092,0.7531199743535908,1
1,0.29377480016251634,0.7062251998374837,1
1,0.24505919629988182,0.7549408037001182,1
1,0.38145424209809553,0.6185457579019045,1
1,0.33005137771559856,0.6699486222844014,1
1,0.598350380115205,0.401649619884795,0
0,0.7567282435432678,0.2432717564567322,0
1,0.1029037540034955,0.8970962459965045,1
0,0.4635541916675935,0.5364458083324065,1
1,0.5422341600743016,0.4577658399256984,0
1,0.184792895424838,0.815207104575162,1
0,0.47921165036647984,0.5207883496335202,1
1,0.2535861959946949,0.7464138040053051,1
0,0.24315245187682588,0.7568475481231741,1
0,0.08782718436094195,0.912172815639058,1
1,0.49115954554804075,0.5088404544519592,1
